Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SSV_20150411T102708_20150411T102736_005435_006EC0_3651,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150411T102708_20150411T102736_005435_006EC0_3651.zip,S1A_IW_SLC__1SSV_20150505T102709_20150505T102737_005785_0076EF_D9F5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150505T102709_20150505T102737_005785_0076EF_D9F5.zip,83,24
S1A_IW_SLC__1SSV_20150505T102709_20150505T102737_005785_0076EF_D9F5,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150505T102709_20150505T102737_005785_0076EF_D9F5.zip,S1A_IW_SLC__1SSV_20150529T102711_20150529T102739_006135_007F6A_0FE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150529T102711_20150529T102739_006135_007F6A_0FE1.zip,61,24
S1A_IW_SLC__1SSV_20150529T102711_20150529T102739_006135_007F6A_0FE1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150529T102711_20150529T102739_006135_007F6A_0FE1.zip,S1A_IW_SLC__1SDV_20150622T102710_20150622T102737_006485_008992_C4A4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150622T102710_20150622T102737_006485_008992_C4A4.zip,26,24
S1A_IW_SLC__1SDV_20150622T102710_20150622T102737_006485_008992_C4A4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150622T102710_20150622T102737_006485_008992_C4A4.zip,S1A_IW_SLC__1SDV_20150716T102711_20150716T102738_006835_009351_1DDA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150716T102711_20150716T102738_006835_009351_1DDA.zip,124,24
S1A_IW_SLC__1SDV_20150716T102711_20150716T102738_006835_009351_1DDA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150716T102711_20150716T102738_006835_009351_1DDA.zip,S1A_IW_SLC__1SDV_20150809T102712_20150809T102739_007185_009D09_2023,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150809T102712_20150809T102739_007185_009D09_2023.zip,132,24
S1A_IW_SLC__1SDV_20150809T102712_20150809T102739_007185_009D09_2023,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150809T102712_20150809T102739_007185_009D09_2023.zip,S1A_IW_SLC__1SDV_20150902T102713_20150902T102740_007535_00A699_7D0E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150902T102713_20150902T102740_007535_00A699_7D0E.zip,66,24
S1A_IW_SLC__1SDV_20150902T102713_20150902T102740_007535_00A699_7D0E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150902T102713_20150902T102740_007535_00A699_7D0E.zip,S1A_IW_SLC__1SDV_20150926T102714_20150926T102741_007885_00AFF9_AFFF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150926T102714_20150926T102741_007885_00AFF9_AFFF.zip,19,24
S1A_IW_SLC__1SDV_20150926T102714_20150926T102741_007885_00AFF9_AFFF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20150926T102714_20150926T102741_007885_00AFF9_AFFF.zip,S1A_IW_SLC__1SDV_20151020T102714_20151020T102741_008235_00B97C_C671,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151020T102714_20151020T102741_008235_00B97C_C671.zip,65,24
S1A_IW_SLC__1SDV_20151020T102714_20151020T102741_008235_00B97C_C671,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151020T102714_20151020T102741_008235_00B97C_C671.zip,S1A_IW_SLC__1SDV_20151113T102708_20151113T102735_008585_00C2D0_98E9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151113T102708_20151113T102735_008585_00C2D0_98E9.zip,108,24
S1A_IW_SLC__1SDV_20151113T102708_20151113T102735_008585_00C2D0_98E9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151113T102708_20151113T102735_008585_00C2D0_98E9.zip,S1A_IW_SLC__1SDV_20151207T102708_20151207T102735_008935_00CCAD_7C3B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151207T102708_20151207T102735_008935_00CCAD_7C3B.zip,59,24
S1A_IW_SLC__1SDV_20151207T102708_20151207T102735_008935_00CCAD_7C3B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151207T102708_20151207T102735_008935_00CCAD_7C3B.zip,S1A_IW_SLC__1SDV_20151231T102707_20151231T102734_009285_00D67F_5D97,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151231T102707_20151231T102734_009285_00D67F_5D97.zip,31,24
